block_id,confidence,text_len,text
1,0.1900,15,"Данныеформы
МА."
2,0.8800,9,Отклонена
3,0.1700,21,каз висполнениизаявки
4,0.5275,10,р РЕ вки Е
5,0.6250,5,об ао
6,0.7833,5,"В
о
я"
7,0.7180,52,"Уведомить
пользователяс
результате
исполнения
заязки"
8,0.0100,1,к
9,0.9600,23,"Заявка
зарегистрирована"
10,0.0000,7,тринята
11,0.5375,29,") а
Обработказаявки
завершена"
12,0.0000,12,Статусзаявки
13,0.2300,4,ОН о
14,0.6400,37,"Проверка
корректности
введённыхданных"
15,0.2740,43,"—
- 7
х
% Заявкапринята
Я крассмотрению
я
о"
16,0.2150,39,"№00
Заявкаотклоненапотехническойпричине"
17,0.1100,12,рассмотрению
18,0.9200,2,да
19,0.9600,17,"Исполнение
заявки"
20,0.4800,15,Заявка принята1
21,0.0000,7,зработу
22,0.4967,17,об ела ан ри р ки
23,0.7333,31,"———
ответственное
подразделение"
